,title,year,certificate,duration,genre,rating,description,stars,votes,tiers,anger,disgust,fear,joy,neutral,sadness,surprise
0,Cobra Kai,(2018– ),TV-14,30 min,"Action, Comedy, Drama",8.5,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","['Ralph Macchio, ', 'William Zabka, ', 'Courtney Henggeler, ', 'Xolo Maridueña']","177,031",9.0,0.010944604,0.01671938,0.015638886,0.049233533,0.81380886,0.04079145,0.052863304
1,The Crown,(2016– ),TV-MA,58 min,"Biography, Drama, History",8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"['Claire Foy, ', 'Olivia Colman, ', 'Imelda Staunton, ', 'Matt Smith']","199,885",9.0,0.026335765,0.011352189,0.00801557,0.011585885,0.9225063,0.0062005073,0.014003845
2,Better Call Saul,(2015–2022),TV-MA,46 min,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrick Fabian']","501,384",9.0,0.007151214,0.021208443,0.94347733,0.0039156936,0.0056004687,0.017488247,0.0011585522
3,Devil in Ohio,(2022),TV-MA,356 min,"Drama, Horror, Mystery",5.9,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.","['Emily Deschanel, ', 'Sam Jaeger, ', 'Gerardo Celasco, ', 'Madeleine Arthur']","9,773",6.0,0.010933419,0.0052889655,0.97020996,0.0008385414,0.005577247,0.004171934,0.0029799088
4,Cyberpunk: Edgerunners,(2022– ),TV-MA,24 min,"Animation, Action, Adventure",8.6,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","['Zach Aguilar, ', 'Kenichiro Ohashi, ', 'Emi Lo, ', 'Aoi Yûki']","15,413",9.0,0.023611248,0.052597027,0.0061002886,0.011173363,0.87648135,0.027032584,0.003004152
5,The Sandman,(2022– ),TV-MA,45 min,"Drama, Fantasy, Horror",7.8,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.","['Tom Sturridge, ', 'Boyd Holbrook, ', 'Patton Oswalt, ', 'Vivienne Acheampong']","116,358",8.0,0.018777845,0.007936361,0.09108353,0.027752813,0.794315,0.028360276,0.031774193
6,Rick and Morty,(2013– ),TV-MA,23 min,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"['Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","502,160",10.0,0.0065528373,0.04147341,0.0029003646,0.83731586,0.084755644,0.012519157,0.0144827925
7,Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340",10.0,0.05490827,0.90525335,0.0077973823,0.0016075823,0.019423049,0.010223933,0.00078646425
8,The Imperfects,(2022– ),TV-MA,45 min,"Action, Adventure, Drama",6.3,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.","['Morgan Taylor Campbell, ', 'Italia Ricci, ', 'Rhianna Jagpal, ', 'Iñaki Godoy']","3,123",7.0,0.33233362,0.066424966,0.046130333,0.007049275,0.53617096,0.0068464447,0.0050444053
9,Blonde,(2022),NC-17,166 min,"Biography, Drama, Mystery",6.2,A fictionalized chronicle of the inner life of Marilyn Monroe.,"['Andrew Dominik', '| ', '    Stars:', 'Ana de Armas, ', 'Lucy DeVito, ', 'Garret Dillahunt, ', 'Adrien Brody']",935,7.0,0.004396964,0.048682645,0.053258013,0.08426777,0.7242308,0.052918136,0.032245643
10,Stranger Things,(2016– ),TV-14,51 min,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown, ', 'Finn Wolfhard, ', 'Winona Ryder, ', 'Caleb McLaughlin']","1,149,889",9.0,0.0029985846,0.0029845862,0.9851686,0.00069353945,0.0039900085,0.0027451233,0.0014196206
11,End of the Road,(II) (2022),R,89 min,"Action, Crime, Drama",4.7,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.","['Millicent Shelton', '| ', '    Stars:', 'Queen Latifah, ', 'Ludacris, ', 'Mychala Lee, ', 'Shaun Dixon']","5,122",5.0,0.034790274,0.02215502,0.8696196,0.0030438777,0.055317562,0.011239081,0.0038344995
12,The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln, ', 'Norman Reedus, ', 'Melissa McBride, ', 'Lauren Cohan']","970,060",9.0,0.036005005,0.06788361,0.3252004,0.0024669443,0.15409984,0.4063882,0.007955976
13,Glass Onion: A Knives Out Mystery,(2022),PG-13,139 min,"Crime, Drama, Mystery",8.1,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,"['Rian Johnson', '| ', '    Stars:', 'Daniel Craig, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautista']",547,9.0,0.008745023,0.010863853,0.015143627,0.1088475,0.7534175,0.057458255,0.045524284
14,Do Revenge,(2022),TV-MA,118 min,Comedy,6.4,Drea and Eleanor agree to go after one another's bullies.,"['Jennifer Kaytin Robinson', '| ', '    Stars:', 'Camila Mendes, ', 'Maya Hawke, ', 'Austin Abrams, ', 'Rish Shah']","13,457",7.0,0.079562806,0.09169813,0.005839263,0.060969893,0.7308032,0.02766386,0.00346283
15,I Came By,(2022),TV-MA,110 min,Thriller,6.1,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,"['Babak Anvari', '| ', '    Stars:', 'Antonio Aakeel, ', 'Alicia Ambrose-Bayly, ', 'Percelle Ascott, ', 'Franc Ashman']","16,230",7.0,0.013745998,0.008907757,0.94553137,0.0029882577,0.010354514,0.002005111,0.016467053
16,No Limit,(2022),TV-MA,118 min,"Drama, Romance, Sport",5.8,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,"['David M. Rosenthal', '| ', '    Stars:', 'Camille Rowe, ', 'Sofiane Zermani, ', 'César Domboy, ', 'Laurent Fernandez']","1,695",6.0,0.013508937,0.0053967712,0.586599,0.022432419,0.2706727,0.0313234,0.07006683
17,1899,(2022– ),,60 min,"Drama, History, Horror",9.6,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,"['Ben Ashenden, ', 'Aneurin Barnard, ', 'Emily Beecham, ', 'Anton Lesser']",853,10.0,0.0031618609,0.003911411,0.9620355,0.0016880339,0.013070908,0.0066922205,0.0094401585
18,Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","531,058",9.0,0.17850904,0.3840283,0.03182052,0.027328119,0.36053,0.0095530255,0.008231039
