,title,genre,rating,description,votes,tiers,anger,disgust,fear,joy,neutral,sadness,surprise,genre_list,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
0,Cobra Kai,"Action, Comedy, Drama",8.5,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",177031.0,9.0,0.010944604,0.01671938,0.015638886,0.049233533,0.81380886,0.04079145,0.052863304,"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Crown,"Biography, Drama, History",8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,199885.0,9.0,0.026335765,0.011352189,0.00801557,0.011585885,0.9225063,0.006200507,0.014003845,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Better Call Saul,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.,501384.0,9.0,0.007151214,0.021208443,0.94347733,0.003915694,0.005600469,0.017488247,0.001158552,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Devil in Ohio,"Drama, Horror, Mystery",5.9,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.",9773.0,6.0,0.010933419,0.005288966,0.97020996,0.000838541,0.005577247,0.004171934,0.002979909,"['Drama', 'Horror', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Cyberpunk: Edgerunners,"Animation, Action, Adventure",8.6,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",15413.0,9.0,0.023611248,0.052597027,0.006100289,0.011173363,0.87648135,0.027032584,0.003004152,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The Sandman,"Drama, Fantasy, Horror",7.8,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",116358.0,8.0,0.018777845,0.007936361,0.09108353,0.027752813,0.794315,0.028360276,0.031774193,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rick and Morty,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,502160.0,10.0,0.006552837,0.04147341,0.002900365,0.83731586,0.084755644,0.012519157,0.014482793,"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Breaking Bad,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,1831340.0,10.0,0.05490827,0.90525335,0.007797382,0.001607582,0.019423049,0.010223933,0.000786464,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,The Imperfects,"Action, Adventure, Drama",6.3,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.",3123.0,7.0,0.33233362,0.066424966,0.046130333,0.007049275,0.53617096,0.006846445,0.005044405,"['Action', 'Adventure', 'Drama']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blonde,"Biography, Drama, Mystery",6.2,A fictionalized chronicle of the inner life of Marilyn Monroe.,935.0,7.0,0.004396964,0.048682645,0.053258013,0.08426777,0.7242308,0.052918136,0.032245643,"['Biography', 'Drama', 'Mystery']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Stranger Things,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",1149889.0,9.0,0.002998585,0.002984586,0.9851686,0.000693539,0.003990009,0.002745123,0.001419621,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,End of the Road,"Action, Crime, Drama",4.7,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.",5122.0,5.0,0.034790274,0.02215502,0.8696196,0.003043878,0.055317562,0.011239081,0.0038345,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,The Walking Dead,"Drama, Horror, Thriller",8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,970060.0,9.0,0.036005005,0.06788361,0.3252004,0.002466944,0.15409984,0.4063882,0.007955976,"['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Glass Onion: A Knives Out Mystery,"Crime, Drama, Mystery",8.1,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,547.0,9.0,0.008745023,0.010863853,0.015143627,0.1088475,0.7534175,0.057458255,0.045524284,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Do Revenge,Comedy,6.4,Drea and Eleanor agree to go after one another's bullies.,13457.0,7.0,0.079562806,0.09169813,0.005839263,0.060969893,0.7308032,0.02766386,0.00346283,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
